2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Bradley Beal,Was,G,27.84,53,35.6,74.3,34.3,11,402,0.9,876,0.54,334,0.35,0.536,0.598,31.3,4.8,7.1,4.5,22.4,1.17,0.36,3.23,9.9,113.7,110.3
,Stephen Curry,Gol,G,33.12,54,34,70.9,33.7,12.5,329,0.918,479,0.572,649,0.428,0.613,0.662,31.2,5.5,8.6,5.7,30.5,1.17,0.13,3.35,11.7,119.6,109.3
,Joel Embiid,Phi,C-F,27.12,43,31.7,66.1,35.5,11.8,489,0.851,645,0.541,136,0.375,0.545,0.636,29.5,10.8,18.8,3,17.2,1.05,1.42,3.09,12.4,121.7,100.2
,Luka Doncic,Dal,F-G,22.16,56,35.1,73.1,35.9,15.3,407,0.73,698,0.57,471,0.359,0.557,0.593,28.6,7.9,12.4,8.7,44.3,1,0.61,4.34,14.3,114.4,107.2
,Giannis Antetokounmpo,Mil,F,26.4,52,33.7,70.1,32.6,14,514,0.685,757,0.633,187,0.305,0.598,0.633,28.5,11.4,17.8,6,29.1,1.21,1.29,3.65,14.8,120.4,101.3
,Damian Lillard,Por,G,30.79,57,35.8,74.6,31.7,11.8,418,0.926,539,0.501,608,0.373,0.532,0.604,28.2,4.2,6.2,7.4,34.4,0.93,0.26,3.12,10.7,121.9,116.4
,Zach LaVine,Chi,G-F,26.14,53,35.2,73.4,31.2,14.4,276,0.848,593,0.572,437,0.416,0.594,0.633,27.5,5.1,8.1,5.1,24.1,0.81,0.51,3.64,10.2,114.3,110
,Kevin Durant,Bro,F,32.58,26,32.5,67.7,31.5,15.2,181,0.873,299,0.582,140,0.471,0.622,0.679,27.1,6.8,11.7,5.1,25.9,0.69,1.31,3.58,12.1,121.2,109.5
,Kyrie Irving,Bro,G,29.1,46,35.2,73.4,30.4,10.2,196,0.923,614,0.562,315,0.387,0.568,0.609,26.9,5,7.9,6.4,30.2,1.33,0.61,2.5,10.8,121,109.4
,Zion Williamson,Nor,F,20.81,57,32.9,68.6,29.8,11.4,491,0.697,924,0.626,31,0.323,0.621,0.652,26.8,7.1,11.9,3.6,19.2,0.89,0.63,2.63,10.7,124.4,109.9
,Donovan Mitchell,Uta,G,24.64,53,33.4,69.6,33.5,10.7,316,0.845,630,0.476,461,0.386,0.52,0.569,26.4,4.4,7,5.2,26.7,0.98,0.28,2.77,10.1,114.8,105.3
,Nikola Jokic,Den,C,26.19,62,35.2,73.3,29.3,13.6,317,0.855,915,0.603,207,0.411,0.606,0.646,26.3,10.9,17.6,8.7,40.8,1.42,0.68,3.21,15.4,129.2,104.9
,Jayson Tatum,Bos,F-G,23.16,56,35.7,74.4,30.5,10.7,283,0.869,718,0.497,423,0.383,0.526,0.571,25.8,7.4,11.6,4.4,20.6,1.18,0.39,2.7,10.6,112.6,109.2
,Kawhi Leonard,Lac,F,29.83,46,34.4,71.6,29.2,8.7,263,0.878,607,0.562,229,0.393,0.569,0.622,25.7,6.7,10.9,5.1,24.7,1.67,0.43,1.98,11.1,125.4,107.9
,Devin Booker,Pho,G,24.49,58,33.8,70.5,32.8,12.9,326,0.856,789,0.541,328,0.345,0.534,0.584,25.4,4.2,6.9,4.4,21.4,0.84,0.28,3.21,9.2,109,106.2
,James Harden,Bro,G,31.67,34,37.3,77.7,28.8,16.6,256,0.867,332,0.548,255,0.361,0.545,0.616,25.4,8.7,13,11,43.6,1.26,0.68,4.09,14.4,122,108
,LeBron James,Lal,F,36.33,41,33.9,70.5,31.7,15,239,0.703,489,0.593,266,0.368,0.579,0.606,25.4,7.9,13,7.9,41.5,1.05,0.59,3.71,13.8,114.6,103.3
,Trae Young,Atl,G,22.61,54,34.2,71.3,32.9,16.3,476,0.874,617,0.47,345,0.357,0.493,0.583,25.3,3.9,6.3,9.6,45.8,0.89,0.19,4.22,11.5,115.8,111.9
,De'Aaron Fox,Sac,G,23.36,58,35.1,73.1,31,11.9,417,0.719,790,0.539,320,0.322,0.523,0.565,25.2,3.5,5.6,7.2,32.6,1.5,0.47,3,9.8,112.6,114.4
,Jaylen Brown,Bos,G-F,24.51,56,34.3,71.4,29.7,11.4,241,0.768,676,0.546,389,0.406,0.569,0.596,24.9,5.9,9.6,3.4,16.9,1.25,0.54,2.7,9.3,113.5,106.7
,James Harden,Hou,G,31.67,8,36.3,75.5,28.8,17.4,60,0.883,63,0.556,72,0.347,0.537,0.613,24.8,5.1,7.5,10.4,47.4,0.88,0.75,4.25,12.1,118.6,113.4
,Karl-Anthony Towns,Min,C-F,25.45,41,34.3,71.4,28.8,14,242,0.864,467,0.548,253,0.391,0.562,0.616,24.8,10.8,17.1,4.5,22.8,0.68,1.34,3.27,12.4,116.1,106.1
,Collin Sexton,Cle,G,22.32,50,35.7,74.3,29,11.1,297,0.815,701,0.522,221,0.376,0.532,0.581,24.5,3,4.8,4.1,20.8,1.12,0.14,2.64,7.5,111.6,110.9
,Nikola Vucevic,Orl,C,30.51,44,34.1,71,30,8,110,0.827,620,0.515,288,0.406,0.545,0.565,24.5,11.8,18,3.8,21.8,0.95,0.64,1.89,12.1,111.9,107.8
,Brandon Ingram,Nor,F,23.66,57,34.4,71.7,28.4,11,300,0.887,684,0.516,354,0.384,0.537,0.59,24.2,5,8,4.9,22.5,0.67,0.63,2.54,9.8,116,111.9
,Julius Randle,Nyk,F-C,26.41,62,37.5,78.1,28.8,13.9,375,0.808,808,0.478,330,0.421,0.522,0.573,24.1,10.4,15,5.9,26.7,0.95,0.26,3.39,12.2,111.8,100.5
,Paul George,Lac,F,30.99,48,33.5,69.8,30.2,14.6,200,0.885,485,0.515,365,0.422,0.566,0.607,23.7,6.5,10.9,5.3,25.4,1.23,0.46,3.35,11.2,114.1,105.7
,Shai Gilgeous-Alexander,Okc,G-F,22.8,35,33.7,70.2,27.9,13.7,229,0.808,395,0.547,170,0.418,0.571,0.623,23.7,4.7,7.3,5.9,31.2,0.77,0.66,3.03,10.3,117.7,111.1
,CJ McCollum,Por,G,29.61,37,33.8,70.4,27.5,6.5,100,0.82,358,0.514,347,0.395,0.552,0.575,23.3,4.1,6.5,4.8,24,1.05,0.46,1.41,9.1,119.8,114.6
,Jerami Grant,Det,F,27.13,53,34.1,71,28.4,9,337,0.849,597,0.469,325,0.354,0.491,0.556,22.5,4.6,7.6,2.8,14.4,0.66,1.06,2,7.8,109.4,109.8
,Nikola Vucevic,Chi,C,30.51,19,32.3,67.3,27.5,8.5,40,0.85,237,0.54,102,0.451,0.581,0.6,22.5,10.7,18.5,3.6,18.7,0.95,0.79,1.74,11.8,117.3,106.2
,Jimmy Butler,Mia,F,31.62,46,34,70.9,26.9,10.7,367,0.864,581,0.537,90,0.211,0.507,0.599,21.7,7.1,11.8,7.2,36.4,2.11,0.37,2.17,12.2,125.1,106.7
,Russell Westbrook,Was,G,32.46,55,35.8,74.7,30.9,18.7,343,0.63,818,0.471,222,0.311,0.47,0.501,21.7,11.2,16.5,11,47.4,1.31,0.35,4.98,15.5,101.2,104.5
,Anthony Davis,Lal,F-C,28.13,27,31.9,66.6,28.6,9.7,148,0.709,373,0.56,74,0.27,0.535,0.569,21.6,7.9,13.8,2.9,15.9,1.3,1.7,2.04,9.9,111.5,102.4
,Malcolm Brogdon,Ind,G,28.38,55,34.9,72.6,26,9.8,175,0.869,604,0.495,371,0.391,0.53,0.563,21.5,5.3,8.2,5.9,26.3,0.89,0.27,2.07,10,113.7,111.9
,DeMar DeRozan,San,G-F,31.73,52,34.1,71.1,25.7,9.7,371,0.887,711,0.518,71,0.254,0.505,0.592,21.5,4.4,6.8,7.2,33.2,0.87,0.25,1.96,10.3,122.5,109.8
,Jamal Murray,Den,G,24.18,48,35.5,73.9,24.8,11.1,153,0.869,476,0.523,316,0.408,0.559,0.592,21.2,4,6.5,4.8,20.1,1.33,0.27,2.23,8.4,116.3,110.9
,Victor Oladipo,Hou,G,28.98,20,33.5,69.7,29.9,10.9,83,0.783,228,0.465,153,0.32,0.471,0.508,21.2,4.8,7.5,5,25.6,1.2,0.5,2.55,9.5,100.1,110.4
,Christian Wood,Hou,F,25.59,38,32.2,67,25.8,9.6,179,0.631,407,0.59,183,0.377,0.582,0.598,21.1,9.8,16.1,1.6,8.9,0.84,1.21,1.87,8.6,111.6,108.1
,Pascal Siakam,Tor,F,27.07,50,35.6,74.2,25.8,10.3,275,0.84,614,0.507,219,0.292,0.489,0.548,20.9,7.2,11.1,4.6,21.1,1.08,0.72,2.2,9.9,112,106.3
,John Wall,Hou,G,30.64,40,32.2,67.1,31.8,14.7,211,0.749,477,0.449,249,0.317,0.458,0.503,20.6,3.2,5.3,6.9,36.6,1.05,0.78,3.53,9.6,99.2,115.2
,Kristaps Porzingis,Dal,F-C,25.74,39,31.4,65.4,26.7,6.9,133,0.85,389,0.542,240,0.363,0.543,0.579,20.4,9.3,16.1,1.6,8.6,0.49,1.46,1.31,8.6,115.9,104.8
,Terry Rozier,Cha,G,27.12,59,34.1,71.1,24.4,9.9,166,0.831,464,0.524,487,0.392,0.557,0.584,20.3,4.2,6.8,4.1,19.7,1.22,0.41,1.92,8.3,113.7,111.4
,Tobias Harris,Phi,F,28.79,53,32.8,68.3,24,10.1,181,0.89,615,0.551,180,0.406,0.564,0.605,20,7.1,11.9,3.7,18.2,0.94,0.87,1.85,9.8,118.7,104.2
,Khris Middleton,Mil,F,29.71,59,33.3,69.4,24.8,13.6,198,0.884,610,0.505,306,0.425,0.549,0.589,20,5.9,9.4,5.4,23.3,1.14,0.17,2.68,10.3,115.1,106
,Victor Oladipo,Ind,G,28.98,9,33.3,69.3,26.6,9.7,37,0.73,83,0.47,69,0.362,0.503,0.535,20,5.7,9.3,4.2,19.1,1.67,0.22,2,9.4,104.3,107
,Domantas Sabonis,Ind,F-C,24.99,53,35.7,74.4,24.2,16.6,297,0.731,625,0.568,139,0.302,0.547,0.588,19.9,11.6,17.6,6,25.2,1.13,0.55,3.36,12.5,113.3,103.5
,Evan Fournier,Orl,G-F,28.5,26,30.3,63,26.3,11.3,123,0.797,181,0.536,188,0.388,0.56,0.604,19.7,2.9,5,3.7,20.7,1.04,0.35,2.08,7.9,114.1,110.5
,Malik Beasley,Min,G,24.42,37,32.8,68.4,24.1,8.6,80,0.85,279,0.487,321,0.399,0.547,0.57,19.6,4.4,7.2,2.4,11.8,0.81,0.19,1.62,7.2,108.6,115.3
,Gordon Hayward,Cha,F,31.1,44,34,70.8,23.9,11,185,0.843,453,0.499,205,0.415,0.537,0.584,19.6,5.9,9.4,4.1,19.4,1.18,0.32,2.07,9.2,114.1,110.6
,Norman Powell,Tor,G,27.93,42,30.4,63.4,24.2,10.8,163,0.865,297,0.552,269,0.439,0.602,0.645,19.6,3,5.4,1.8,10,1.12,0.19,1.83,6.2,117.1,109.9
,Ja Morant,Mem,G,21.72,53,32.1,66.8,27.7,14.8,322,0.736,612,0.508,194,0.299,0.494,0.545,19.5,3.9,6.4,7.3,33.9,0.91,0.19,3.09,10.2,109.2,112.5
,D'Angelo Russell,Min,G,25.18,33,27.9,58.1,29.9,13.8,110,0.8,273,0.473,241,0.407,0.537,0.569,19.4,2.5,4.8,5.2,31.9,1,0.42,2.73,9.1,107.8,114.4
,Bam Adebayo,Mia,C-F,23.78,56,33.5,69.8,24.2,15,324,0.806,704,0.572,8,0.25,0.57,0.628,19.2,9.1,15.4,5.2,26.7,1.09,1.09,2.7,11.6,121,104.2
,Fred VanVleet,Tor,G,27.17,49,36.2,75.4,23.6,9.4,180,0.883,357,0.417,439,0.367,0.491,0.537,19.2,4.2,6.4,6.2,26.3,1.65,0.73,1.86,8.8,112.5,110.2
